reefName,date,source,x,y
(Big) Broadhurst Reef (No 1) (18-100a),2020-08-22,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2020-08-23,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2020-08-24,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2020-10-28,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2020-10-29,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2020-10-30,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2021-01-07,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2021-01-08,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2021-01-09,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2021-01-10,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2021-01-11,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2021-04-30,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2021-09-30,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2021-10-01,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2021-10-02,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2021-10-03,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2022-08-18,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2022-08-19,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2022-08-20,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2022-08-21,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2022-10-01,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2022-10-15,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2023-02-01,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2023-03-30,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2023-03-31,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2023-04-01,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2023-10-11,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2023-10-13,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 1) (18-100a),2023-10-14,EOTR,147.74226379,-18.90699196
(Big) Broadhurst Reef (No 2) (18-100b),2021-08-06,EOTR,147.6938324,-18.8633194
(Big) Broadhurst Reef (No 2) (18-100b),2022-08-18,EOTR,147.6938324,-18.8633194
(Big) Broadhurst Reef (No 2) (18-100b),2023-03-03,EOTR,147.6938324,-18.8633194
(Big) Broadhurst Reef (No 2) (18-100b),2023-10-13,EOTR,147.6938324,-18.8633194
(Little) Broadhurst Reef (18-106),2021-05-13,EOTR,147.69447327,-18.95594597
(Little) Broadhurst Reef (18-106),2022-02-24,EOTR,147.69447327,-18.95594597
(Little) Broadhurst Reef (18-106),2022-10-30,EOTR,147.69447327,-18.95594597
(Little) Broadhurst Reef (18-106),2023-02-13,EOTR,147.69447327,-18.95594597
(Little) Broadhurst Reef (18-106),2023-03-05,EOTR,147.69447327,-18.95594597
(Little) Broadhurst Reef (18-106),2023-10-15,EOTR,147.69447327,-18.95594597
Abrahams Reef (22-093),2023-02-22,EOTR,152.48748779,-22.10082817
Adelaide Reef (17-042),2020-03-30,EOTR,146.47129822,-17.65380287
Adelaide Reef (17-042),2020-03-31,EOTR,146.47129822,-17.65380287
Adelaide Reef (17-042),2022-09-01,EOTR,146.47129822,-17.65380287
Adelaide Reef (17-042),2023-05-26,EOTR,146.47129822,-17.65380287
Agincourt Reefs (No 1) (15-099c),2020-02-08,AIMS,145.86737061,-16.05204773
Agincourt Reefs (No 1) (15-099c),2020-05-01,EOTR,145.86737061,-16.05204773
Agincourt Reefs (No 1) (15-099c),2020-11-06,AIMS,145.86737061,-16.05204773
Agincourt Reefs (No 1) (15-099c),2021-10-29,EOTR,145.86737061,-16.05204773
Agincourt Reefs (No 1) (15-099c),2022-08-19,EOTR,145.86737061,-16.05204773
Agincourt Reefs (No 1) (15-099c),2022-11-01,AIMS,145.86737061,-16.05204773
Agincourt Reefs (No 1) (15-099c),2023-09-01,AIMS,145.86737061,-16.05204773
Agincourt Reefs (No 2a) (15-099b),2020-05-01,EOTR,145.85093689,-16.01783371
Agincourt Reefs (No 2a) (15-099b),2021-10-29,EOTR,145.85093689,-16.01783371
Agincourt Reefs (No 2a) (15-099b),2022-08-19,EOTR,145.85093689,-16.01783371
Agincourt Reefs (No 2b) (15-099e),2020-05-01,EOTR,145.85839844,-16.03013229
Agincourt Reefs (No 2b) (15-099e),2021-10-29,EOTR,145.85839844,-16.03013229
Agincourt Reefs (No 2b) (15-099e),2022-08-19,EOTR,145.85839844,-16.03013229
Agincourt Reefs (No 3) (15-099a),2020-01-22,EOTR,145.83221436,-15.98979378
Agincourt Reefs (No 3) (15-099a),2020-05-15,EOTR,145.83221436,-15.98979378
Agincourt Reefs (No 3) (15-099a),2021-10-27,EOTR,145.83221436,-15.98979378
Agincourt Reefs (No 3) (15-099a),2022-08-17,EOTR,145.83221436,-15.98979378
Agincourt Reefs (No 3) (15-099a),2023-09-05,EOTR,145.83221436,-15.98979378
Agincourt Reefs (No 4) (15-096),2020-05-01,EOTR,145.82078552,-15.94987965
Agincourt Reefs (No 4) (15-096),2020-05-13,EOTR,145.82078552,-15.94987965
Agincourt Reefs (No 4) (15-096),2021-10-28,EOTR,145.82078552,-15.94987965
Agincourt Reefs (No 4) (15-096),2022-07-22,EOTR,145.82078552,-15.94987965
Agincourt Reefs (No 4) (15-096),2022-07-23,EOTR,145.82078552,-15.94987965
Agincourt Reefs (No 4) (15-096),2022-08-17,EOTR,145.82078552,-15.94987965
Agincourt Reefs (No 4) (15-096),2023-02-04,EOTR,145.82078552,-15.94987965
Agincourt Reefs (No 4) (15-096),2023-02-05,EOTR,145.82078552,-15.94987965
Agincourt Reefs (No 5) (15-099d),2020-01-22,EOTR,145.83525085,-16.03521538
Agincourt Reefs (No 5) (15-099d),2020-05-15,EOTR,145.83525085,-16.03521538
Agincourt Reefs (No 5) (15-099d),2021-10-27,EOTR,145.83525085,-16.03521538
Agincourt Reefs (No 5) (15-099d),2022-08-19,EOTR,145.83525085,-16.03521538
Andersen Reef (15-090),2020-04-19,EOTR,145.80323792,-15.78924942
Andersen Reef (15-090),2022-10-31,AIMS,145.80323792,-15.78924942
Anzac Reefs (No 2) (18-089),2021-10-31,EOTR,147.88897705,-18.72080612
Anzac Reefs (No 3) (18-090),2021-10-31,EOTR,147.84161377,-18.73146439
Arab Reef (18-040),2022-01-28,EOTR,147.13941956,-18.41486359
Arlington Reef (16-064),2020-02-14,AIMS,146.05477905,-16.69470215
Arlington Reef (16-064),2020-03-21,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2020-04-29,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2020-04-30,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2020-08-22,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2020-08-23,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2020-09-01,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2020-09-07,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2021-08-21,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2021-08-22,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2021-10-01,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2021-10-02,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2022-04-11,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2022-04-17,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2022-04-18,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2023-01-27,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2023-01-28,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2023-01-29,EOTR,146.05477905,-16.69470215
Arlington Reef (16-064),2023-09-05,AIMS,146.05477905,-16.69470215
Arthur Patches (17-018b),2020-02-17,EOTR,146.33929443,-17.38754654
Ashmore Banks (No 1) (11-237a),2020-12-09,AIMS,143.62936401,-11.88521671
Ashmore Banks (No 1) (11-237a),2021-10-21,AIMS,143.62936401,-11.88521671
Ashmore Banks (No 1) (11-237a),2022-12-04,AIMS,143.62936401,-11.88521671
Ashmore Banks (No 2) (11-237b),2020-12-09,AIMS,143.70982361,-11.88003635
Ashmore Banks (No 2) (11-237b),2021-10-21,AIMS,143.70982361,-11.88003635
Ashmore Banks (No 2) (11-237b),2022-12-04,AIMS,143.70982361,-11.88003635
Ashmore Banks (No 3) (11-237c),2020-12-09,AIMS,143.68823242,-11.92658424
Ashmore Banks (No 3) (11-237c),2021-10-21,AIMS,143.68823242,-11.92658424
Ashmore Banks (No 3) (11-237c),2022-12-04,AIMS,143.68823242,-11.92658424
Bacchi Reef (21-495),2020-01-28,EOTR,152.38877869,-21.63401604
Backnumbers Reef (18-069a),2021-06-11,EOTR,147.14831543,-18.50876045
Backnumbers Reef (18-069a),2021-10-18,EOTR,147.14831543,-18.50876045
Backnumbers Reef (18-069a),2022-09-09,EOTR,147.14831543,-18.50876045
Backnumbers Reef (18-069a),2023-04-03,EOTR,147.14831543,-18.50876045
Backnumbers Reef (18-069a),2023-10-02,EOTR,147.14831543,-18.50876045
Bait Reef (19-137),2020-05-11,EOTR,149.07359314,-19.80712891
Bait Reef (19-137),2021-06-24,EOTR,149.07359314,-19.80712891
Bait Reef (19-137),2021-06-25,EOTR,149.07359314,-19.80712891
Bait Reef (19-137),2021-11-28,EOTR,149.07359314,-19.80712891
Bait Reef (19-137),2023-11-04,EOTR,149.07359314,-19.80712891
Banfield Reef (North) (18-105a),2021-11-01,EOTR,147.89686584,-18.9248848
Banfield Reef (North) (18-105a),2022-03-02,EOTR,147.89686584,-18.9248848
Banfield Reef (North) (18-105a),2023-02-06,EOTR,147.89686584,-18.9248848
Banfield Reef (North) (18-105a),2023-03-31,EOTR,147.89686584,-18.9248848
Banfield Reef (North) (18-105a),2023-07-21,EOTR,147.89686584,-18.9248848
Banfield Reef (South) (18-105b),2021-11-01,EOTR,147.90930176,-18.93882942
Banfield Reef (South) (18-105b),2022-03-02,EOTR,147.90930176,-18.93882942
Banfield Reef (South) (18-105b),2023-03-13,EOTR,147.90930176,-18.93882942
Banfield Reef (South) (18-105b),2023-07-21,EOTR,147.90930176,-18.93882942
Barb Reef (19-136b),2020-05-25,EOTR,149.11845398,-19.80438423
Barnett Patches (18-019),2020-11-30,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2021-02-22,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2021-02-23,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2022-05-03,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2022-05-04,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2022-05-05,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2022-09-23,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2022-09-24,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2022-09-25,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2023-01-09,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2023-01-10,EOTR,146.85308838,-18.06010437
Barnett Patches (18-019),2023-01-12,EOTR,146.85308838,-18.06010437
Batt Reef (16-029),2020-02-20,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2020-02-21,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2020-02-22,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2020-07-23,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2020-08-12,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2021-09-05,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2021-10-05,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2021-10-06,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2022-03-16,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2022-03-17,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2022-03-31,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2022-06-15,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2022-10-01,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2022-10-02,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2022-10-03,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2022-12-09,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2023-01-04,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2023-01-09,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2023-04-30,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2023-07-20,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2023-08-02,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2023-11-15,EOTR,145.76745605,-16.41407585
Batt Reef (16-029),2023-11-22,EOTR,145.76745605,-16.41407585
Beaver Reef (17-051),2020-05-12,EOTR,146.4835968,-17.84960938
Beaver Reef (17-051),2021-08-25,EOTR,146.4835968,-17.84960938
Beaver Reef (17-051),2021-10-13,EOTR,146.4835968,-17.84960938
Beaver Reef (17-051),2022-07-06,EOTR,146.4835968,-17.84960938
Beaver Reef (17-051),2022-07-07,EOTR,146.4835968,-17.84960938
Beaver Reef (17-051),2023-06-08,EOTR,146.4835968,-17.84960938
Ben Reef (20-113),2020-12-08,EOTR,150.32034302,-20.0068779
Ben Reef (20-113),2021-02-08,AIMS,150.32034302,-20.0068779
Ben Reef (20-113),2023-02-03,AIMS,150.32034302,-20.0068779
Block Reef (19-127),2020-05-10,EOTR,149.3734436,-19.69941521
Block Reef (19-127),2022-09-22,EOTR,149.3734436,-19.69941521
Block Reef (19-127),2022-09-23,EOTR,149.3734436,-19.69941521
Block Reef (19-127),2022-09-26,EOTR,149.3734436,-19.69941521
Block Reef (19-127),2023-10-14,EOTR,149.3734436,-19.69941521
Block Reef (19-127),2023-10-15,EOTR,149.3734436,-19.69941521
Block Reef (19-127),2023-10-16,EOTR,149.3734436,-19.69941521
Border Island Reef (No 1) (20-067a),2021-02-20,AIMS,149.02896118,-20.16838264
Border Island Reef (No 1) (20-067a),2022-02-25,AIMS,149.02896118,-20.16838264
Border Island Reef (No 1) (20-067a),2023-02-18,AIMS,149.02896118,-20.16838264
Boulder Reef (15-012),2020-11-04,AIMS,145.43144226,-15.41388798
Boulder Reef (15-012),2022-03-12,EOTR,145.43144226,-15.41388798
Boulder Reef (15-012),2022-10-30,AIMS,145.43144226,-15.41388798
Boulder Reef (15-012),2022-11-09,EOTR,145.43144226,-15.41388798
Boulder Reef (15-012),2023-09-06,EOTR,145.43144226,-15.41388798
Boult Reef (23-079),2020-01-06,AIMS,152.27194214,-23.75748634
Boult Reef (23-079),2020-04-05,EOTR,152.27194214,-23.75748634
Boult Reef (23-079),2020-06-01,EOTR,152.27194214,-23.75748634
Boult Reef (23-079),2020-08-16,EOTR,152.27194214,-23.75748634
Boult Reef (23-079),2020-08-21,AIMS,152.27194214,-23.75748634
